,=SUM(B2:B730),"=ROUND(B1/((365-30-5-12-104)*7.7/12), 2)"
10.09.25,6,"erp-interface, consumables-api"
11.09.25,9,"erp-interface, consumables-api, record-api"
19.09.25,5,api
20.09.25,2,api
26.09.25,8,"consumables-api, order-api, calendar-api"
27.09.25,7,"record-api, calendar-api, erp-interface, ui-assembler"
28.09.25,3,"documentation, code maintenance"
02.10.25,8,"api, erp-interface"
03.10.25,9,erp-interface
04.10.25,10,"user-api, erp-interface, code maintenance"
05.10.25,4,"code maintenance"
06.10.25,1,"code maintenance"
10.10.25,9,"ui-assembler, consumables-api, erp-interface"
11.10.25,7,"erp-interface, documentation, message-api"
17.10.25,9,"code maintenance, message-api"
18.10.25,9,"install routine, maintenance-api"
24.10.25,2,"code maintenance"
25.10.25,4,record-api
29.10.25,6,record-api
30.10.25,6,"record-api, audit-api"
01.11.25,6,"record-api, audit-api"
02.11.25,2,"unittests, documentation"
04.11.25,1,documentation
05.11.25,1,documentation
06.11.25,1,"user-api, calendar-api"
07.11.25,9,"order-api, consumables-api, documentation"
08.11.25,3,"code maintenance"
16.11.25,4,"code maintenance"
21.11.25,8,"calendar-api, consumables-api"
22.11.25,6,"code maintenance, calendar-api, user-api"
28.11.25,6,calendar-api
29.11.25,7,"code maintenance"
05.12.25,8,"order-api, csvfilter-api"
06.12.25,7,"code maintenance"
12.12.25,8,"order-api, message-api, csvfilter-api"
13.12.25,3,order-api
19.12.25,8,order-api
20.12.25,8,"order-api, audit-api, code maintenance"
30.12.25,6,"code maintenance"
02.01.26,5,"erp-interface"
03.01.26,6,"texttemplate-api, file-api, documentation"
09.01.26,5,"order-api, erp-interface"
16.01.26,2,erp-interface
24.01.26,10,"erp-interface, consumables-api, erpquery-api, notification-api"
30.01.26,8,"code maintenance, order-api, consumables-api, csvfilter-api"
31.01.26,10,"code maintenance"
06.02.26,7,"order-api, pdf-library, code maintenance"
07.02.26,11,pdf-library
12.02.26,5,table-library
13.02.26,6,table-library
